gene,term
PV2T_000290,108098
PV2T_000291,108098
PV2T_000292,108098
PV2T_000293,108098
PV2T_000294,108098
PV2T_000295,108098
PV2T_000296,108098
PV2T_000297,108098
PV2T_000298,108098
PV2T_000299,108098
PV2T_000300,108098
PV2T_000301,108098
PV2T_000302,108098
PV2T_000303,108098
PV2T_000304,108098
PV2T_000305,108098
PV2T_000306,108098
PV2T_000307,108098
PV2T_000308,108098
PV2T_000309,108098
PV2T_000310,129951
PV2T_000311,129951
PV2T_000312,129951
PV2T_000313,129951
PV2T_000314,129951
PV2T_000315,129951
PV2T_000316,129951
PV2T_000317,129951
PV2T_000318,129951
PV2T_000319,129951
PV2T_000320,129951
PV2T_000321,129951
PV2T_000322,129951
PV2T_000323,129951
PV2T_000324,129951
PV2T_000325,129951
PV2T_000326,129951
PV2T_000327,129951
PV2T_000328,129951
PV2T_000329,129951
PV2T_000330,129951
PV2T_000331,129951
PV2T_000332,129951
PV2T_000333,129951
PV2T_000334,129951
PV2T_000335,129951
PV2T_000336,129951
PV2T_000337,129951
PV2T_000338,129951
PV2T_000339,129951
PV2T_000340,129951
PV2T_000341,129951
PV2T_000342,129951
PV2T_000343,129951
PV2T_000344,129951
PV2T_000345,129951
PV2T_000346,129951
PV2T_000347,129951
PV2T_000348,129951
PV2T_000349,129951
PV2T_000350,129951
PV2T_000351,129951
PV2T_000352,129951
PV2T_000353,129951
PV2T_000354,129951
PV2T_000355,129951
PV2T_000356,129951
PV2T_000357,129951
PV2T_000358,129951
PV2T_000359,129951
PV2T_000360,129951
PV2T_000361,129951
PV2T_000362,129951
PV2T_000363,129951
PV2T_000364,129951
PV2T_000365,129951
PV2T_000366,129951
PV2T_000367,129951
PV2T_000368,129951
PV2T_000369,129951
PV2T_000370,129951
PV2T_000371,129951
PV2T_000372,129951
PV2T_000373,129951
PV2T_000374,129951
PV2T_000375,129951
PV2T_000376,129951
PV2T_000377,129951
PV2T_000378,129951
PV2T_000379,129951
PV2T_000380,129951
PV2T_000381,129951
PV2T_000382,129951
PV2T_000383,129951
PV2T_000384,129951
PV2T_000385,129951
PV2T_000386,129951
PV2T_000387,129951
PV2T_000388,129951
PV2T_000389,129951
PV2T_000390,129951
PV2T_000391,129951
PV2T_000392,129951
PV2T_000393,129951
PV2T_000394,129951
PV2T_000395,129951
PV2T_000396,129951
PV2T_000397,129951
PV2T_000398,129951
PV2T_000399,129951
PV2T_000400,129951
PV2T_000401,129951
PV2T_000402,129951
PV2T_000403,129951
PV2T_000404,129951
