         term        gene
245   1891763 PV2T_011357
246     11983 PV2T_000745
247     11983 PV2T_000746
248     11983 PV2T_000747
249     11983 PV2T_000748
250     11983 PV2T_000749
251     11983 PV2T_000750
252     11983 PV2T_000751
253     11983 PV2T_000752
254     11983 PV2T_000753
255     11983 PV2T_000754
256     11983 PV2T_000755
257     11983 PV2T_000756
258     11983 PV2T_000757
259     11983 PV2T_000758
260     11983 PV2T_000759
261     11983 PV2T_000760
262     11983 PV2T_000761
263     11983 PV2T_000762
264     11983 PV2T_000763
265     11983 PV2T_000764
266     11983 PV2T_000765
267     11983 PV2T_000766
268     11983 PV2T_000767
269     11983 PV2T_000768
270     11983 PV2T_000769
271     11983 PV2T_000770
272     11983 PV2T_000771
273     11983 PV2T_000772
274     11983 PV2T_000773
275     11983 PV2T_000774
276     11983 PV2T_000775
277     11983 PV2T_000776
278     11983 PV2T_000777
279     11983 PV2T_000778
280     11983 PV2T_000779
281     11983 PV2T_000780
282     11983 PV2T_000781
283     11983 PV2T_000782
284     11983 PV2T_000783
285     11983 PV2T_000784
286     11983 PV2T_000785
287     11983 PV2T_000786
288     11983 PV2T_000787
289     11983 PV2T_000788
290     11983 PV2T_000789
291     11983 PV2T_000790
292     11983 PV2T_000791
293     11983 PV2T_000792
294     11983 PV2T_000793
295     11983 PV2T_000794
296     11983 PV2T_000795
297     11983 PV2T_000796
298     11983 PV2T_000797
299     11983 PV2T_000798
300     11983 PV2T_000799
301     11983 PV2T_000800
302     11983 PV2T_000801
303     11983 PV2T_000802
304     11983 PV2T_000803
305     11983 PV2T_000804
306     11983 PV2T_000805
307     11983 PV2T_000806
308     11983 PV2T_000807
309     11983 PV2T_000808
310     11983 PV2T_000809
311     11983 PV2T_000810
312     11983 PV2T_000811
313     11983 PV2T_000812
314     11983 PV2T_000813
315     11983 PV2T_000814
316     11983 PV2T_000815
317     11983 PV2T_000816
318     11983 PV2T_000817
319     11983 PV2T_000818
320     11983 PV2T_000819
321     11983 PV2T_000820
322     11983 PV2T_000821
323     11983 PV2T_000822
324     11983 PV2T_000823
325     11983 PV2T_000824
326     11983 PV2T_000825
327     11983 PV2T_000826
328     11983 PV2T_000827
329     11983 PV2T_000828
330     11983 PV2T_000829
331     11983 PV2T_000830
332     11983 PV2T_000831
333     11983 PV2T_000832
334     11983 PV2T_000833
335     11983 PV2T_000834
336     11983 PV2T_000835
337     11983 PV2T_000836
338     11983 PV2T_000837
339     11983 PV2T_000838
340     11983 PV2T_000839
341     11983 PV2T_000840
342     11983 PV2T_000841
343     11983 PV2T_000842
344     11983 PV2T_000843
345     11983 PV2T_000844
346     11983 PV2T_000845
347     11983 PV2T_000846
348     11983 PV2T_000847
349     11983 PV2T_000848
350     11983 PV2T_000849
351     11983 PV2T_000850
352     11983 PV2T_000851
353     11983 PV2T_000852
354     11983 PV2T_000853
355     11983 PV2T_000854
356     11983 PV2T_000855
357     11983 PV2T_000856
358     11983 PV2T_000857
359     11983 PV2T_000858
360     11983 PV2T_000859
361     11983 PV2T_000860
362     11983 PV2T_000861
363     11983 PV2T_000862
364     11983 PV2T_000863
365     11983 PV2T_000864
366     11983 PV2T_000865
367     11983 PV2T_000866
368     11983 PV2T_000867
369     11983 PV2T_000868
370     11983 PV2T_000869
371     11983 PV2T_000870
372     11983 PV2T_000871
373     11983 PV2T_000872
