ID	enrichmentScore	NES	p.adjust	core_enrichment	pvalue	qvalue	all_tested_peptides	species_name
147711	-0.45049254555087115	-1.9869638626901505	0.00022415299414580168	PV2T_014943/PV2T_002273/PV2T_002389/PV2T_002331/PV2T_002183/PV2T_002159/PV2T_002365/PV2T_014941/PV2T_002142/PV2T_002154/PV2T_002230/PV2T_002446/PV2T_002378/PV2T_002351/PV2T_002099/PV2T_002619/PV2T_002535/PV2T_002145/PV2T_002763/PV2T_002634/PV2T_002837/PV2T_002269/PV2T_002753/PV2T_002540/PV2T_002644/PV2T_002602/PV2T_002612/PV2T_002541/PV2T_002615	9.74578235416529e-06	0.00016413949228067856	PV2T_002042/PV2T_002048/PV2T_002059/PV2T_002081/PV2T_002083/PV2T_002099/PV2T_002107/PV2T_002111/PV2T_002127/PV2T_002132/PV2T_002140/PV2T_002142/PV2T_002143/PV2T_002145/PV2T_002154/PV2T_002156/PV2T_002159/PV2T_002181/PV2T_002183/PV2T_002205/PV2T_002216/PV2T_002230/PV2T_002254/PV2T_002261/PV2T_002269/PV2T_002273/PV2T_002304/PV2T_002308/PV2T_002331/PV2T_002333/PV2T_002351/PV2T_002365/PV2T_002368/PV2T_002377/PV2T_002378/PV2T_002384/PV2T_002389/PV2T_002403/PV2T_002411/PV2T_002443/PV2T_002446/PV2T_002469/PV2T_002472/PV2T_002473/PV2T_002475/PV2T_002478/PV2T_002479/PV2T_002480/PV2T_002481/PV2T_002483/PV2T_002484/PV2T_002486/PV2T_002489/PV2T_002492/PV2T_002496/PV2T_002529/PV2T_002533/PV2T_002535/PV2T_002539/PV2T_002540/PV2T_002541/PV2T_002549/PV2T_002558/PV2T_002569/PV2T_002574/PV2T_002575/PV2T_002587/PV2T_002602/PV2T_002611/PV2T_002612/PV2T_002615/PV2T_002619/PV2T_002634/PV2T_002644/PV2T_002665/PV2T_002674/PV2T_002696/PV2T_002708/PV2T_002753/PV2T_002763/PV2T_002837/PV2T_002891/PV2T_002954/PV2T_003004/PV2T_003013/PV2T_003038/PV2T_011450/PV2T_011578/PV2T_012133/PV2T_012333/PV2T_012344/PV2T_012372/PV2T_014941/PV2T_014943	Rhinovirus A
10310	0.6566805050450971	1.9297125885875315	0.005346371961059546	PV2T_013785/PV2T_013722/PV2T_007069/PV2T_007149/PV2T_013950/PV2T_007155/PV2T_006959/PV2T_007043/PV2T_007010/PV2T_013544/PV2T_006999/PV2T_013711/PV2T_013576/PV2T_007040/PV2T_014080/PV2T_013625	0.0006973528644860277	0.00391496344974612	PV2T_006959/PV2T_006999/PV2T_007010/PV2T_007040/PV2T_007043/PV2T_007069/PV2T_007149/PV2T_007155/PV2T_013544/PV2T_013576/PV2T_013625/PV2T_013711/PV2T_013722/PV2T_013785/PV2T_013950/PV2T_014009/PV2T_014050/PV2T_014080	Human alphaherpesvirus 2
162145	-0.9428285707200302	-1.8237300161746548	0.005346371961059546	PV2T_005967/PV2T_005969	0.0005056173451585971	0.00391496344974612	PV2T_005954/PV2T_005967/PV2T_005969/PV2T_005979	Human metapneumovirus
130310	0.6532689116295931	1.7920642783139982	0.020517395182872437	PV2T_012456/PV2T_012822/PV2T_000001/PV2T_012706/PV2T_012599/PV2T_012705/PV2T_000087/PV2T_000002/PV2T_000043	0.003568242640499554	0.015024179538945491	PV2T_000001/PV2T_000002/PV2T_000011/PV2T_000016/PV2T_000023/PV2T_000043/PV2T_000071/PV2T_000087/PV2T_000112/PV2T_012456/PV2T_012599/PV2T_012705/PV2T_012706/PV2T_012822	Human mastadenovirus D
10359	0.5829731891341767	1.6873881009176401	0.04878048780487805	PV2T_007614/PV2T_014755/PV2T_007375/PV2T_007368/PV2T_007471/PV2T_007366/PV2T_014754	0.010604453870625663	0.03572026566947591	PV2T_007328/PV2T_007359/PV2T_007366/PV2T_007368/PV2T_007373/PV2T_007375/PV2T_007471/PV2T_007490/PV2T_007542/PV2T_007573/PV2T_007581/PV2T_007614/PV2T_014752/PV2T_014754/PV2T_014755/PV2T_014761/PV2T_014781	Human betaherpesvirus 5
147712	0.43151882688789095	1.5762847567871419	0.060951722548680726	PV2T_011783/PV2T_003527/PV2T_003599/PV2T_011798/PV2T_003846/PV2T_003564/PV2T_003673/PV2T_012156/PV2T_003672/PV2T_003678/PV2T_003492/PV2T_003679/PV2T_003574/PV2T_003709/PV2T_003544/PV2T_003671/PV2T_003587/PV2T_003593	0.015900449360525405	0.04463284031024675	PV2T_003492/PV2T_003502/PV2T_003510/PV2T_003524/PV2T_003527/PV2T_003544/PV2T_003551/PV2T_003554/PV2T_003560/PV2T_003563/PV2T_003564/PV2T_003574/PV2T_003587/PV2T_003589/PV2T_003593/PV2T_003595/PV2T_003599/PV2T_003623/PV2T_003631/PV2T_003654/PV2T_003658/PV2T_003661/PV2T_003670/PV2T_003671/PV2T_003672/PV2T_003673/PV2T_003677/PV2T_003678/PV2T_003679/PV2T_003680/PV2T_003695/PV2T_003701/PV2T_003709/PV2T_003723/PV2T_003809/PV2T_003822/PV2T_003846/PV2T_003852/PV2T_011783/PV2T_011798/PV2T_012156/PV2T_012162/PV2T_014956/PV2T_014957	Rhinovirus B
11320	-0.705222897652239	-1.5647520642470203	0.1538269212738694	PV2T_005367/PV2T_005422/PV2T_005372/PV2T_005369/PV2T_005423	0.04681688908335156	0.11264213914791354	PV2T_005367/PV2T_005369/PV2T_005370/PV2T_005372/PV2T_005422/PV2T_005423	Influenza A virus
432261	0.6550023482191741	1.4475710706720673	0.19987747322563076	PV2T_008533/PV2T_008534	0.06952259938282809	0.14636336712174336	PV2T_008525/PV2T_008529/PV2T_008533/PV2T_008534/PV2T_008544/PV2T_008558/PV2T_008559	Torque teno midi virus
10407	0.5184179496118831	1.3302761500828897	0.35563040438062593	PV2T_008885/PV2T_008881/PV2T_008903/PV2T_008867	0.13915972345328842	0.26041585675469175	PV2T_008862/PV2T_008863/PV2T_008865/PV2T_008867/PV2T_008873/PV2T_008877/PV2T_008881/PV2T_008884/PV2T_008885/PV2T_008903/PV2T_008916	Hepatitis B virus
138949	0.35646731041144925	1.0475100921012923	0.8593073593073594	PV2T_001413/PV2T_001513/PV2T_001368/PV2T_001474/PV2T_012258/PV2T_011891/PV2T_001414/PV2T_001312/PV2T_001323	0.394303909428622	0.6292410869069908	PV2T_001312/PV2T_001323/PV2T_001352/PV2T_001368/PV2T_001413/PV2T_001414/PV2T_001474/PV2T_001497/PV2T_001513/PV2T_001525/PV2T_001708/PV2T_001709/PV2T_001711/PV2T_011891/PV2T_011894/PV2T_012072/PV2T_012258/PV2T_012269	Enterovirus B
