ID	enrichmentScore	NES	p.adjust	core_enrichment	pvalue	qvalue	all_tested_peptides	species_name
10310	0.8913834507242937	2.1809980061374925	3.529591732531213e-23	PV2T_007208/PV2T_013671/PV2T_006989/PV2T_007192/PV2T_007017/PV2T_006968/PV2T_013898/PV2T_007025/PV2T_007013/PV2T_014081/PV2T_007145/PV2T_007196/PV2T_014041/PV2T_014045/PV2T_007042/PV2T_007157/PV2T_007102/PV2T_014009/PV2T_007043/PV2T_007008/PV2T_007183/PV2T_007010/PV2T_007152/PV2T_007098/PV2T_007149/PV2T_007191/PV2T_007140/PV2T_013839/PV2T_007207/PV2T_013833/PV2T_013832/PV2T_013933/PV2T_007056/PV2T_013949/PV2T_007154/PV2T_007206/PV2T_013899/PV2T_006963/PV2T_006970/PV2T_013756/PV2T_007062/PV2T_013952/PV2T_007108/PV2T_014040/PV2T_014051/PV2T_007186/PV2T_006990	1.1385779782358752e-24	2.8764075239643164e-23	PV2T_006959/PV2T_006963/PV2T_006968/PV2T_006970/PV2T_006978/PV2T_006989/PV2T_006990/PV2T_006992/PV2T_006999/PV2T_007003/PV2T_007008/PV2T_007010/PV2T_007011/PV2T_007013/PV2T_007016/PV2T_007017/PV2T_007025/PV2T_007028/PV2T_007033/PV2T_007040/PV2T_007042/PV2T_007043/PV2T_007048/PV2T_007056/PV2T_007062/PV2T_007069/PV2T_007098/PV2T_007102/PV2T_007108/PV2T_007132/PV2T_007140/PV2T_007145/PV2T_007149/PV2T_007152/PV2T_007154/PV2T_007157/PV2T_007181/PV2T_007183/PV2T_007186/PV2T_007190/PV2T_007191/PV2T_007192/PV2T_007196/PV2T_007206/PV2T_007207/PV2T_007208/PV2T_013625/PV2T_013628/PV2T_013671/PV2T_013698/PV2T_013707/PV2T_013722/PV2T_013756/PV2T_013832/PV2T_013833/PV2T_013839/PV2T_013898/PV2T_013899/PV2T_013913/PV2T_013914/PV2T_013929/PV2T_013933/PV2T_013949/PV2T_013950/PV2T_013952/PV2T_013955/PV2T_014003/PV2T_014007/PV2T_014009/PV2T_014022/PV2T_014039/PV2T_014040/PV2T_014041/PV2T_014045/PV2T_014051/PV2T_014080/PV2T_014081	Human alphaherpesvirus 2
147711	-0.3725489203571226	-1.7764027179614574	0.00027297276552598984	PV2T_002083/PV2T_002333/PV2T_002811/PV2T_002156/PV2T_002665/PV2T_002802/PV2T_002059/PV2T_002521/PV2T_002159/PV2T_002331/PV2T_014524/PV2T_002048/PV2T_002351/PV2T_002492/PV2T_002754/PV2T_002032/PV2T_002216/PV2T_002864/PV2T_002205/PV2T_003038/PV2T_002660/PV2T_014528/PV2T_014943/PV2T_002389/PV2T_002562/PV2T_002345/PV2T_002483/PV2T_002569/PV2T_002476/PV2T_012351/PV2T_002384/PV2T_002128/PV2T_002803/PV2T_002568/PV2T_002757/PV2T_014521/PV2T_002865/PV2T_002716/PV2T_002338/PV2T_002378/PV2T_002973/PV2T_002859/PV2T_002554/PV2T_002411/PV2T_002750/PV2T_002403/PV2T_002549/PV2T_002763/PV2T_002365/PV2T_002358	1.7611146162967087e-05	0.0002224565831111632	PV2T_002029/PV2T_002032/PV2T_002042/PV2T_002048/PV2T_002059/PV2T_002081/PV2T_002083/PV2T_002107/PV2T_002127/PV2T_002128/PV2T_002130/PV2T_002132/PV2T_002140/PV2T_002142/PV2T_002143/PV2T_002145/PV2T_002156/PV2T_002159/PV2T_002205/PV2T_002216/PV2T_002296/PV2T_002308/PV2T_002320/PV2T_002323/PV2T_002326/PV2T_002331/PV2T_002333/PV2T_002334/PV2T_002336/PV2T_002338/PV2T_002341/PV2T_002345/PV2T_002351/PV2T_002355/PV2T_002358/PV2T_002365/PV2T_002368/PV2T_002370/PV2T_002372/PV2T_002378/PV2T_002384/PV2T_002387/PV2T_002389/PV2T_002403/PV2T_002411/PV2T_002412/PV2T_002449/PV2T_002472/PV2T_002473/PV2T_002475/PV2T_002476/PV2T_002478/PV2T_002479/PV2T_002480/PV2T_002481/PV2T_002483/PV2T_002484/PV2T_002486/PV2T_002487/PV2T_002488/PV2T_002489/PV2T_002492/PV2T_002496/PV2T_002506/PV2T_002521/PV2T_002533/PV2T_002539/PV2T_002541/PV2T_002549/PV2T_002553/PV2T_002554/PV2T_002562/PV2T_002568/PV2T_002569/PV2T_002570/PV2T_002587/PV2T_002611/PV2T_002612/PV2T_002640/PV2T_002660/PV2T_002665/PV2T_002696/PV2T_002708/PV2T_002716/PV2T_002735/PV2T_002748/PV2T_002750/PV2T_002753/PV2T_002754/PV2T_002755/PV2T_002757/PV2T_002758/PV2T_002762/PV2T_002763/PV2T_002765/PV2T_002768/PV2T_002793/PV2T_002802/PV2T_002803/PV2T_002811/PV2T_002837/PV2T_002845/PV2T_002859/PV2T_002864/PV2T_002865/PV2T_002973/PV2T_003038/PV2T_003039/PV2T_012133/PV2T_012333/PV2T_012351/PV2T_014520/PV2T_014521/PV2T_014522/PV2T_014523/PV2T_014524/PV2T_014525/PV2T_014526/PV2T_014527/PV2T_014528/PV2T_014936/PV2T_014937/PV2T_014938/PV2T_014939/PV2T_014941/PV2T_014943	Rhinovirus A
11520	-0.6091962096630413	-1.8679924632696172	0.034469383533305746	PV2T_005259/PV2T_005191/PV2T_005173/PV2T_005175/PV2T_005206/PV2T_005161/PV2T_005190/PV2T_005192/PV2T_005208/PV2T_005216	0.003397728956458594	0.0280904993140692	PV2T_005161/PV2T_005173/PV2T_005175/PV2T_005178/PV2T_005180/PV2T_005187/PV2T_005190/PV2T_005191/PV2T_005192/PV2T_005206/PV2T_005207/PV2T_005208/PV2T_005212/PV2T_005216/PV2T_005248/PV2T_005253/PV2T_005257/PV2T_005259/PV2T_005285	Influenza B virus
10359	0.6294941068008247	1.5121963678053485	0.034469383533305746	PV2T_007500/PV2T_007818/PV2T_007813/PV2T_007623/PV2T_007643/PV2T_007594/PV2T_007597/PV2T_007631/PV2T_007546/PV2T_007581/PV2T_007614/PV2T_007437/PV2T_007524/PV2T_007471/PV2T_007340/PV2T_007375/PV2T_007366/PV2T_007438/PV2T_007573/PV2T_007359/PV2T_007670/PV2T_014755/PV2T_007523/PV2T_007681/PV2T_014752/PV2T_007785/PV2T_007535/PV2T_007328/PV2T_007719/PV2T_007435	0.00444766239139429	0.0280904993140692	PV2T_007328/PV2T_007340/PV2T_007359/PV2T_007366/PV2T_007373/PV2T_007375/PV2T_007376/PV2T_007387/PV2T_007394/PV2T_007395/PV2T_007402/PV2T_007403/PV2T_007419/PV2T_007426/PV2T_007427/PV2T_007428/PV2T_007435/PV2T_007437/PV2T_007438/PV2T_007471/PV2T_007477/PV2T_007500/PV2T_007523/PV2T_007524/PV2T_007526/PV2T_007535/PV2T_007537/PV2T_007546/PV2T_007573/PV2T_007576/PV2T_007578/PV2T_007581/PV2T_007593/PV2T_007594/PV2T_007595/PV2T_007597/PV2T_007614/PV2T_007619/PV2T_007623/PV2T_007631/PV2T_007632/PV2T_007643/PV2T_007660/PV2T_007670/PV2T_007681/PV2T_007719/PV2T_007730/PV2T_007785/PV2T_007791/PV2T_007813/PV2T_007818/PV2T_014752/PV2T_014754/PV2T_014755/PV2T_014761/PV2T_014763/PV2T_014781/PV2T_014783	Human betaherpesvirus 5
138948	-0.450368511821121	-1.6759578584244685	0.049110398817256457	PV2T_011819/PV2T_001924/PV2T_001733/PV2T_011634/PV2T_001825/PV2T_001808/PV2T_001791/PV2T_001731/PV2T_001861/PV2T_011802/PV2T_001753/PV2T_001715/PV2T_001919/PV2T_002020/PV2T_001724/PV2T_001918/PV2T_001932/PV2T_001794/PV2T_001755/PV2T_001752/PV2T_001774	0.007921032067299428	0.04002205676109184	PV2T_001715/PV2T_001721/PV2T_001724/PV2T_001731/PV2T_001733/PV2T_001737/PV2T_001752/PV2T_001753/PV2T_001755/PV2T_001771/PV2T_001774/PV2T_001784/PV2T_001790/PV2T_001791/PV2T_001794/PV2T_001808/PV2T_001825/PV2T_001828/PV2T_001829/PV2T_001830/PV2T_001831/PV2T_001861/PV2T_001870/PV2T_001872/PV2T_001895/PV2T_001918/PV2T_001919/PV2T_001923/PV2T_001924/PV2T_001932/PV2T_001972/PV2T_002020/PV2T_011492/PV2T_011493/PV2T_011634/PV2T_011802/PV2T_011819/PV2T_011834	Enterovirus A
11983	-0.4840134155881609	-1.5500938127036363	0.1661220755456803	PV2T_000883/PV2T_000938/PV2T_000822/PV2T_001101/PV2T_000858/PV2T_000903/PV2T_001081	0.03358992302309307	0.1353796201390943	PV2T_000800/PV2T_000814/PV2T_000822/PV2T_000847/PV2T_000858/PV2T_000859/PV2T_000873/PV2T_000882/PV2T_000883/PV2T_000893/PV2T_000902/PV2T_000903/PV2T_000906/PV2T_000930/PV2T_000938/PV2T_000946/PV2T_000959/PV2T_000984/PV2T_001071/PV2T_001081/PV2T_001101/PV2T_001102	Norwalk virus
138949	-0.433503904731323	-1.4995191539389536	0.1661220755456803	PV2T_001413/PV2T_001384/PV2T_001352/PV2T_001362/PV2T_001457/PV2T_001708/PV2T_001334/PV2T_001505/PV2T_011926/PV2T_001489/PV2T_012258/PV2T_011667/PV2T_001363/PV2T_001494/PV2T_001474	0.03751143641354071	0.1353796201390943	PV2T_001309/PV2T_001312/PV2T_001323/PV2T_001334/PV2T_001352/PV2T_001362/PV2T_001363/PV2T_001384/PV2T_001413/PV2T_001414/PV2T_001457/PV2T_001471/PV2T_001474/PV2T_001489/PV2T_001494/PV2T_001497/PV2T_001505/PV2T_001594/PV2T_001611/PV2T_001616/PV2T_001629/PV2T_001635/PV2T_001708/PV2T_011667/PV2T_011891/PV2T_011892/PV2T_011894/PV2T_011926/PV2T_012258	Enterovirus B
138951	-0.4170639318849989	-1.4426521824901541	0.19499085086916743	PV2T_011849/PV2T_012255/PV2T_001289/PV2T_001228/PV2T_001229/PV2T_001238/PV2T_012234/PV2T_001226/PV2T_001275/PV2T_011384/PV2T_011870/PV2T_001240	0.05032021957913998	0.15890595656570522	PV2T_001224/PV2T_001225/PV2T_001226/PV2T_001227/PV2T_001228/PV2T_001229/PV2T_001230/PV2T_001231/PV2T_001234/PV2T_001238/PV2T_001240/PV2T_001241/PV2T_001243/PV2T_001244/PV2T_001246/PV2T_001247/PV2T_001275/PV2T_001288/PV2T_001289/PV2T_011376/PV2T_011384/PV2T_011512/PV2T_011649/PV2T_011666/PV2T_011849/PV2T_011864/PV2T_011870/PV2T_012234/PV2T_012255	Enterovirus D
694009	-0.7863947883986937	-1.47286049917893	0.21447028423772613	PV2T_010889/PV2T_014622/PV2T_010901	0.0622655663915979	0.17478053723957307	PV2T_010889/PV2T_010895/PV2T_010901/PV2T_014622	Severe acute respiratory syndrome coronavirus
147712	-0.3888630566861573	-1.3517809390412328	0.2466922339405561	PV2T_011482/PV2T_003793/PV2T_003527/PV2T_011609/PV2T_003595/PV2T_003559/PV2T_003651/PV2T_003645/PV2T_003556/PV2T_003671/PV2T_003544/PV2T_011762/PV2T_003654/PV2T_003603/PV2T_003492/PV2T_012181	0.07957813998082454	0.20103951153050412	PV2T_003492/PV2T_003510/PV2T_003524/PV2T_003527/PV2T_003544/PV2T_003554/PV2T_003556/PV2T_003559/PV2T_003560/PV2T_003562/PV2T_003595/PV2T_003603/PV2T_003619/PV2T_003645/PV2T_003651/PV2T_003653/PV2T_003654/PV2T_003656/PV2T_003671/PV2T_003736/PV2T_003782/PV2T_003793/PV2T_003806/PV2T_011482/PV2T_011593/PV2T_011609/PV2T_011762/PV2T_011783/PV2T_011798/PV2T_012181	Rhinovirus B
